idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
1,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
19,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
35,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
45,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
46,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
46,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
48,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
50,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
50,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
53,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
58,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
58,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
70,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
70,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
73,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
74,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
84,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
86,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
91,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
92,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
93,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
93,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
94,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
95,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
96,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
96,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
96,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
109,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
111,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
112,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
115,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
126,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
136,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
139,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
140,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
149,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
151,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
152,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
152,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
155,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
155,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
164,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
181,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
181,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
182,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
182,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
189,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
193,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
194,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
195,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
206,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
210,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
216,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
216,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
218,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
221,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
224,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
255,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
271,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
285,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
292,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
297,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
302,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
316,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
322,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
332,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
335,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
346,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
346,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
361,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
373,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
377,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
387,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
401,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
403,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
415,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
418,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
423,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
424,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
426,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
437,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
481,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
490,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
502,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
509,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
534,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
536,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
537,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
539,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
544,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
545,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
572,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
576,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
578,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
583,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
583,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
587,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
628,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
655,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
668,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
671,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
696,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
704,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
712,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
734,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
738,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
742,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
745,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
779,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
784,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
789,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
830,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
855,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
869,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
874,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
878,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
881,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
895,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
918,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
929,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
954,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
963,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
980,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
980,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
980,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
996,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1014,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1016,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1034,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1036,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1038,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1040,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1042,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1049,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1050,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1051,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1056,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1057,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1058,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1060,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1065,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1072,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1083,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1087,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1089,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1090,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1091,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1092,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1093,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1094,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1094,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1121,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1122,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1125,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1129,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1129,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1131,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1132,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1142,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1144,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1159,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1162,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1163,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1194,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1196,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1200,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1226,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1233,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1255,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1257,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1263,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1267,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1268,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1283,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1300,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1306,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1309,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1325,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1361,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1364,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1368,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1421,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1433,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1434,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1463,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1468,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1491,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1509,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1515,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1520,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1541,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1545,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1579,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1584,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1590,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1592,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1592,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1599,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1601,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1635,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1638,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1638,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1647,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1650,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1653,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1654,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1655,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1656,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1657,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1658,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1686,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1686,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1687,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1693,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1747,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1748,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1753,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1754,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1756,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1756,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1759,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1759,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1763,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1764,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1798,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1821,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1821,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1834,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1845,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1848,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1859,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1881,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1887,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1902,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1902,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1904,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1924,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1982,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
